run,randomSeed,margin_perc_spread,firms_risk_premium,inn_exponent,perc_total_credit,months_of_income,prop_consume_wealth,information_dispersion,cons_risk_premium,res_wage_adjustment,rep_exponent,GdpDev.UnempRate,Inflation.UnempRate
53,-1860772020,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.04,0.5,0.03,-0.09
62,-1860769019,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.1,1,0.03,0.3
66,-1860769484,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.01,1,0.05,-0.32
63,-1860769349,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.1,1.5,0.05,0.32
49,-1860763684,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.01,0.5,0.02,0.32
70,-1860756985,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.04,1,0.04,-0.38
68,-1860755219,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.01,2,0.07,-0.32
69,-1860754605,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.04,0.5,0.1,-0.32
72,-1860754629,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.04,2,0.03,-0.41
59,-1860755438,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.07,1.5,0.05,0.39
75,-1860740881,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.07,1.5,0.06,0.22
76,-1860743259,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.07,2,0.04,-0.4
74,-1860742822,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.07,1,0.04,-0.39
55,-1860746308,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.04,1.5,0.05,0.31
78,-1860739924,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.1,1,0.04,-0.45
65,-1860737990,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.01,0.5,0.04,0.29
81,-1860729592,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.01,0.5,0.09,-0.35
82,-1860729588,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.01,1,0.05,0.35
80,-1860728345,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.1,2,0.03,0.16
84,-1860725484,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.01,2,0.05,0.16
61,-1860727268,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.1,0.5,0.04,0.29
71,-1860720911,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.04,1.5,0.08,-0.1
87,-1860717764,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.04,1.5,0.11,0.18
88,-1860714083,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.04,2,0.04,0.18
86,-1860712742,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.04,1,0.06,-0.28
90,-1860709489,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.07,1,0.08,0.21
77,-1860704994,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.1,0.5,0.05,0.2
93,-1860703234,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.1,0.5,0.04,0
67,-1860707572,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.01,1.5,0.03,0.02
92,-1860699039,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.07,2,0.04,-0.4
94,-1860699971,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.1,1,0.05,-0.14
96,-1860697909,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.1,2,0.05,-0.18
99,-1860690143,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.01,1.5,0.04,-0.28
98,-1860687770,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.01,1,0.11,-0.35
100,-1860686824,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.01,2,0.09,-0.44
83,-1860690256,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.01,1.5,0.07,0.15
73,-1860690041,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.07,0.5,0.01,0.25
102,-1860683663,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.04,1,0.02,0.22
105,-1860676835,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.07,0.5,0.04,0.04
106,-1860674423,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.07,1,0.02,-0.51
104,-1860675206,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.04,2,0.06,-0.03
89,-1860673311,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.07,0.5,0.05,-0.07
108,-1860669868,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.07,2,0.04,-0.34
79,-1860673156,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.1,1.5,0.06,0.27
112,-1860662867,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.1,2,0.04,0.1
111,-1860663061,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.1,1.5,0.04,0.33
110,-1860660773,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.1,1,0.04,0.09
114,-1860657565,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.01,1,0.05,-0.39
95,-1860657682,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.1,1.5,0.04,-0.47
85,-1860655379,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.04,0.5,0.04,-0.32
118,-1860649931,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.04,1,0.05,-0.35
116,-1860648463,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.01,2,0.08,0.22
117,-1860648705,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.04,0.5,0.02,-0.08
120,-1860643386,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.04,2,0.05,-0.34
101,-1860641472,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.04,0.5,0.05,0.25
124,-1860636511,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.07,2,0.04,0.24
123,-1860634212,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.07,1.5,0.03,-0.15
122,-1860634939,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.07,1,0.07,0.22
91,-1860637491,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.07,1.5,0.04,-0.51
126,-1860629882,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.1,1,0.03,-0.38
107,-1860626320,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.07,1.5,0.04,-0.34
130,-1860623916,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.01,1,0.05,-0.4
129,-1860621894,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.01,0.5,0.08,-0.64
128,-1860621147,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.1,2,0.04,0.22
97,-1860618468,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.01,0.5,0.14,-0.11
132,-1860615514,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.01,2,0.05,0.24
136,-1860609535,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.04,2,0.04,0.22
113,-1860611202,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.01,0.5,0.07,-0.38
