run,randomSeed,margin_perc_spread,firms_risk_premium,inn_exponent,perc_total_credit,months_of_income,prop_consume_wealth,information_dispersion,cons_risk_premium,res_wage_adjustment,rep_exponent,VacanRatio.UnempRate
70,-1860756985,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.04,1,-0.87
68,-1860755219,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.01,2,-0.83
69,-1860754605,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.04,0.5,-0.89
72,-1860754629,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.04,2,-0.91
59,-1860755438,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.07,1.5,-0.95
75,-1860740881,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.07,1.5,-0.73
76,-1860743259,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.07,2,-0.91
74,-1860742822,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.07,1,-0.9
55,-1860746308,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.04,1.5,-0.91
78,-1860739924,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.1,1,-0.91
65,-1860737990,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.01,0.5,-0.97
81,-1860729592,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.01,0.5,-0.95
82,-1860729588,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.01,1,-0.87
80,-1860728345,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.1,2,-0.29
84,-1860725484,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.01,2,-0.98
61,-1860727268,0.1,0.1,0.5,0.1,6,0.1,0.1,1,0.1,0.5,-0.77
71,-1860720911,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.04,1.5,-0.28
87,-1860717764,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.04,1.5,-0.83
88,-1860714083,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.04,2,-0.59
86,-1860712742,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.04,1,-0.97
90,-1860709489,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.07,1,-0.58
77,-1860704994,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.1,0.5,-0.39
93,-1860703234,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.1,0.5,-0.44
