"GdpGrowth","UnempRate","tick"
0.0,0.0825,1.0
-0.560429616389919,0.0825,2.0
-0.43626292556157836,0.061,3.0
-0.26000579969640364,0.0455,4.0
-0.13757694748166643,0.039,5.0
-0.16166651866983928,0.036,6.0
0.15560448114253383,0.0325,7.0
-0.05804192364172974,0.03,8.0
-0.054194096213655035,0.0275,9.0
-0.15028128539735253,0.027,10.0
-0.07492986554288764,0.0255,11.0
0.05561354546957185,0.023,12.0
-0.055256669951658316,0.02,13.0
0.0673691099241522,0.02,14.0
0.002748179115894208,0.019,15.0
-0.003791953495101014,0.0185,16.0
0.007632725788207171,0.0175,17.0
-0.3049016370119953,0.0175,18.0
0.10068621194079723,0.017,19.0
0.001532096035839175,0.016,20.0
-0.0073962125195615016,0.0155,21.0
4.097659128442095E-4,0.015,22.0
-0.002687605970766405,0.015,23.0
-0.004274738950521602,0.015,24.0
-0.0046132942143024885,0.0145,25.0
0.004145602645004313,0.0135,26.0
0.09857638111967894,0.0125,27.0
-0.051043867671484174,0.0115,28.0
0.0013228359498094582,0.0105,29.0
-0.004854809218413841,0.01,30.0
0.04761016610518333,0.0085,31.0
-0.04347221395829984,0.008,32.0
0.0011671864043467277,0.0075,33.0
0.09540897290155656,0.007,34.0
0.00392672850356367,0.007,35.0
-0.005112932224961482,0.0065,36.0
0.007315827544683886,0.0065,37.0
-0.0016937557401474758,0.0065,38.0
-0.007014119988768186,0.006,39.0
0.006912302146009944,0.006,40.0
0.0012172912446780486,0.006,41.0
-0.008411060808874597,0.0055,42.0
5.703772149359835E-4,0.0045,43.0
-0.0017112690413700659,0.0045,44.0
0.003484938395039798,0.004,45.0
-0.0021696461494969104,0.004,46.0
-0.08412857275684717,0.0035,47.0
0.06511845307010122,0.0035,48.0
-0.06481353131587306,0.0035,49.0
-0.0010963795802042865,0.0035,50.0
0.030926406505863216,0.003,51.0
0.018100111503463835,0.003,52.0
-0.016766106958997218,0.003,53.0
0.05774409456419822,0.0025,54.0
0.0019672624923200333,0.002,55.0
-0.003940902628778577,0.002,56.0
0.0018007838019432339,0.0015,57.0
0.005030432289512226,0.0015,58.0
-0.0027695242036481784,0.0015,59.0
4.6816882103636626E-4,0.0015,60.0
-0.002110815296715404,0.0015,61.0
-0.004407003850533643,0.0015,62.0
6.377800615425118E-5,0.0015,63.0
-4.526836500200925E-4,0.0015,64.0
0.006669246570981074,5.0E-4,65.0
-0.004896976906881645,5.0E-4,66.0
-4.5413081358336384E-4,5.0E-4,67.0
0.005898339242765027,5.0E-4,68.0
0.0020397005851800626,0.0,69.0
-0.006672345858066823,0.0,70.0
-6.811843137687876E-4,0.0,71.0
0.005500328272367962,0.0,72.0
-0.007286987731341843,0.0,73.0
-0.10548946270814502,0.0,74.0
0.004889708431535545,0.0,75.0
-0.0027878973329557117,0.0,76.0
4.043656392584621E-5,0.0,77.0
5.683631502080659E-4,0.0,78.0
-0.0013295243102723411,0.0,79.0
0.004810824482130193,0.0,80.0
-0.0028795679245885338,0.0,81.0
-0.0024353913085483265,0.0,82.0
-7.10817533594578E-4,0.0,83.0
0.0017116534104572613,0.0,84.0
-4.168477730666652E-4,0.0,85.0
0.00111730873343713,0.0,86.0
-8.550401724325732E-4,0.0,87.0
0.007710370471760996,0.0,88.0
-0.002682691130009951,0.0,89.0
-0.0029692567120892257,0.0,90.0
0.0010979725431287826,0.0,91.0
-0.0034694449110391225,0.0,92.0
0.0053613422462009605,0.0,93.0
-0.004102954651787468,0.0,94.0
8.54477475081336E-4,0.0,95.0
0.0013515081329553377,0.0,96.0
-1.935427932263814E-4,0.0,97.0
-0.001972660933757881,0.0,98.0
0.0010193512136656496,0.0,99.0
0.0029392538938171012,0.0,100.0
-0.004456013222256344,0.0,101.0
0.011081993229937886,0.0,102.0
-0.004502628776574242,0.0,103.0
-0.006239456250505559,0.0,104.0
-0.001553609297947914,0.0,105.0
0.0029476032376725496,0.0,106.0
-0.0011088960207767066,0.0,107.0
-8.959488525491158E-4,0.0,108.0
-0.14808269150933137,0.0,109.0
0.0025824313852240454,0.0,110.0
-0.001753786727458645,0.0,111.0
0.00444476314699984,0.0,112.0
-0.0018440836299932653,0.0,113.0
-0.0033893811723989136,0.0,114.0
0.001131652080137871,0.0,115.0
-1.344434504682799E-4,0.0,116.0
8.811323798338528E-4,0.0,117.0
0.0023661592494875084,0.0,118.0
-0.004207321536130206,0.0,119.0
-2.4470952276187553E-5,0.0,120.0
-5.68801993081886E-4,0.0,121.0
-0.1192053930168782,0.0,122.0
-0.1979287061110594,0.0,123.0
-0.06990898084465015,0.0,124.0
0.00743503802558427,0.0,125.0
-0.008243951707078116,0.0,126.0
0.011896116837608802,0.0,127.0
0.0035098951276110184,0.0,128.0
-0.011551780374864934,0.0,129.0
-0.002192272631599644,0.0,130.0
0.001794082407718088,0.0,131.0
0.004634346603670845,0.0,132.0
-0.0027393351977855677,0.0,133.0
-0.0013886818629453206,0.0,134.0
0.005413560499862588,0.0,135.0
-0.0033042913636661545,0.0,136.0
6.442639119324296E-4,0.0,137.0
-0.0020484052167172246,0.0,138.0
0.0026125444710114343,0.0,139.0
-0.007066141357382392,0.0,140.0
0.0094883243561985,0.0,141.0
-0.002623167708514319,0.0,142.0
0.0038487677287570533,0.0,143.0
0.005539889738371173,0.0,144.0
-0.00913413846033409,0.0,145.0
-0.0020899844970408057,0.0,146.0
-0.003799359372453887,0.0,147.0
0.005211860278831665,0.0,148.0
-9.93231465886016E-4,0.0,149.0
-0.002704704942681656,0.0,150.0
-6.940222075392398E-4,0.0,151.0
