"GdpDev","UnempRate","tick","Inflation","MeanUnempRate"
0.0,0.0825,1.0,0.0,0.0
-0.560429616389919,0.0825,2.0,0.0010016774798809677,0.0
-0.10403207824441257,0.061,3.0,-3.3128298059003605,0.07533333333333334
0.15889364751956336,0.0455,4.0,0.423717941583273,0.063
0.14037161009821636,0.039,5.0,0.13458449324558266,0.048499999999999995
0.02474990327946383,0.036,6.0,0.07269116449951879,0.04016666666666666
0.20348414281219113,0.0325,7.0,0.020222856524841033,0.035833333333333335
-0.036673936585384675,0.03,8.0,0.006819447825373103,0.03283333333333333
-0.06865024997603805,0.0275,9.0,0.008448020819562673,0.03
-0.06277551697977342,0.027,10.0,0.002339489373999003,0.028166666666666663
0.0182052168417441,0.0255,11.0,-3.7972271229037348E-6,0.02666666666666666
0.11214608062646128,0.023,12.0,-0.0,0.02516666666666666
-0.03039900661000028,0.02,13.0,7.088184211204793E-5,0.02283333333333333
0.04479378144346362,0.02,14.0,0.0037906441179693675,0.021
-0.0022053605802351516,0.019,15.0,1.2608779288510537E-6,0.019666666666666666
-0.025900398676749474,0.0185,16.0,-0.0,0.019166666666666665
0.00543640865187372,0.0175,17.0,-2.5217526782925912E-6,0.01833333333333333
-0.20454801543903223,0.0175,18.0,-1.2608795188789882E-6,0.01783333333333333
0.16621377836846085,0.017,19.0,1.8913216628514747E-4,0.01733333333333333
0.06909320571429213,0.016,20.0,-2.521285361021376E-6,0.01683333333333333
-0.039003577671919816,0.0155,21.0,-0.0,0.016166666666666663
0.0022278827698035734,0.015,22.0,-1.2606458590650073E-6,0.015499999999999995
5.370782217281522E-4,0.015,23.0,-0.0,0.015166666666666662
-0.0020905459477070115,0.015,24.0,-0.0,0.014999999999999994
-7.547478357723325E-4,0.0145,25.0,-0.0,0.014833333333333329
0.005726412818277563,0.0135,26.0,9.202726371617394E-5,0.014333333333333328
0.06587348460288533,0.0125,27.0,-1.2605314448225583E-6,0.013499999999999993
-0.0682699063692172,0.0115,28.0,-0.0,0.012499999999999992
-0.014962280516191959,0.0105,29.0,-0.0,0.011499999999999995
0.013337137761615672,0.01,30.0,-0.0,0.01066666666666666
0.032917435159657005,0.0085,31.0,-0.0,0.00966666666666666
-0.04323326160112306,0.008,32.0,-0.0,0.008833333333333327
-6.011931127300203E-4,0.0075,33.0,-0.0,0.007999999999999993
0.07770765778568874,0.007,34.0,-0.0,0.007499999999999993
-0.02957423409959199,0.007,35.0,-0.0,0.007166666666666659
-0.036520521951681074,0.0065,36.0,-0.0,0.006833333333333326
0.005272619603588515,0.0065,37.0,-0.0,0.006666666666666658
-0.0018634689333391317,0.0065,38.0,-0.0,0.006499999999999992
-0.006550103927357608,0.006,39.0,-0.0,0.006333333333333325
0.00751082667364517,0.006,40.0,-0.0,0.006166666666666658
8.454667773714333E-4,0.006,41.0,-0.0,0.0059999999999999915
-0.008317238336145743,0.0055,42.0,-0.0,0.005833333333333325
0.0027781746646894923,0.0045,43.0,-0.0,0.0053333333333333245
0.0014727151703994813,0.0045,44.0,-0.0,0.004833333333333324
0.0027035895388378803,0.004,45.0,-0.0,0.004333333333333324
-0.002037653884221197,0.004,46.0,-0.0,0.004166666666666656
-0.05652414591974575,0.0035,47.0,-0.0,0.0038333333333333227
0.0721783750155155,0.0035,48.0,-1.2605330339768044E-6,0.003666666666666656
-0.03687231431500007,0.0035,49.0,-0.0,0.0034999999999999892
-8.325603048789268E-4,0.0035,50.0,-0.0,0.0034999999999999892
0.04258757463593458,0.003,51.0,-0.0,0.0033333333333333223
0.0021233986937562316,0.003,52.0,-0.0,0.0031666666666666557
-0.02751957730910718,0.003,53.0,-0.0,0.002999999999999989
0.03805139486130993,0.0025,54.0,-0.0,0.002833333333333322
-0.012347820873520326,0.002,55.0,-0.0,0.0024999999999999888
