"GdpGrowth","Gdp","MeanGdp","tick"
0.0,5806790.479358323,0.0,1.0
-0.560429616389919,2552493.118554904,0.0,2.0
-0.43626292556157836,1438935.003178345,-0.3322308473171658,3.0
-0.26000579969640364,1064803.5569658123,-0.418899447215967,4.0
-0.13757694748166643,918311.1339308352,-0.2779485575798828,5.0
-0.16166651866983928,769850.9698524845,-0.1864164219493031,6.0
0.15560448114253383,889643.2305734569,-0.04787966166965729,7.0
-0.05804192364172974,838006.6261161305,-0.021367987056345062,8.0
-0.054194096213655035,792591.6143927125,0.014456153762383017,9.0
-0.15028128539735253,673479.9277866129,-0.08750576841757911,10.0
-0.07492986554288764,623016.1673517283,-0.09313508238463174,11.0
0.05561354546957185,657664.305303022,-0.05653253515688944,12.0
-0.055256669951658316,621323.9658459063,-0.024857663341658037,13.0
0.0673691099241522,663182.0083994893,0.022575328480688574,14.0
0.002748179115894208,665004.5513450096,0.00495353969612936,15.0
-0.003791953495101014,662482.8850122788,0.02210844518164846,16.0
0.007632725788207171,667539.4352129579,0.0021963171363334516,17.0
-0.3049016370119953,464005.56864646426,-0.10035362157296306,18.0
0.10068621194079723,510724.5316729123,-0.06552756642766362,19.0
0.001532096035839175,511507.0107032942,-0.06756110967845295,20.0
-0.0073962125195615016,507723.796146887,0.03160736515235831,21.0
4.097659128442095E-4,507931.84405168786,-0.0018181168569593638,22.0
-0.002687605970766405,506566.72339487216,-0.003224684192494557,23.0
-0.004274738950521602,504401.282891338,-0.00218419300281459,24.0
-0.0046132942143024885,502074.33137128863,-0.003858546378530156,25.0
0.004145602645004313,504155.7320474102,-0.0015808101732732503,26.0
0.09857638111967894,553853.5796333865,0.032702896516793596,27.0
-0.051043867671484174,525582.750805202,0.017226038697733034,28.0
0.0013228359498094582,526278.0105625669,0.016285116466001417,29.0
-0.004854809218413841,523723.0312254393,-0.018191946980029513,30.0
0.04761016610518333,548657.5717351926,0.014692730945526323,31.0
-0.04347221395829984,524806.212386879,-2.3895235717677488E-4,32.0
0.0011671864043467277,525418.7590628937,0.001768379517076748,33.0
0.09540897290155656,575548.4232082948,0.017701315115867824,34.0
0.00392672850356367,577808.4456068879,0.03350096260315566,35.0
-0.005112932224961482,574854.1501854896,0.031407589726719594,36.0
0.007315827544683886,579059.6840115924,0.0020432079410953713,37.0
-0.0016937557401474758,578078.8983479098,1.6971319319165597E-4,38.0
-0.007014119988768186,574024.1835919226,-4.6401606141057854E-4,39.0
0.006912302146009944,577992.0121880267,-5.985245276352262E-4,40.0
0.0012172912446780486,578695.596803957,3.7182446730661526E-4,41.0
-0.008411060808874597,573828.152949411,-9.382247272885526E-5,42.0
5.703772149359835E-4,574155.4514531421,-0.002207797449753509,43.0
-0.0017112690413700659,573172.9170041365,-0.003183984211769547,44.0
0.003484938395039798,575170.3893096012,7.813488562019179E-4,45.0
-0.0021696461494969104,573922.473089131,-1.3199226527571334E-4,46.0
-0.08412857275684717,525639.1945550623,-0.027604426837101414,47.0
0.06511845307010122,559868.005777502,-0.007059921945414271,48.0
-0.06481353131587306,523580.98325228645,-0.027941217000872987,49.0
-0.0010963795802042865,523006.93975366536,-2.638192753253597E-4,50.0
0.030926406505863216,539181.6649778747,-0.011661168130071361,51.0
0.018100111503463835,548940.9132345975,0.015976712809707604,52.0
-0.016766106958997218,539737.3111691367,0.010753470350109961,53.0
0.05774409456419822,570903.9535051134,0.019692699702888294,54.0
0.0019672624923200333,572027.0714395612,0.014315083365840359,55.0
-0.003940902628778577,569772.7684499925,0.01859015147591324,56.0
0.0018007838019432339,570798.8060222056,-5.7618778171756365E-5,57.0
0.005030432289512226,573670.1707668348,9.634378208923079E-4,58.0
-0.0027695242036481784,572081.377343985,0.0013538972959357745,59.0
4.6816882103636626E-4,572349.208007953,9.09692302300152E-4,60.0
-0.002110815296715404,571141.0845446269,-0.0014707235597757249,61.0
-0.004407003850533643,568624.0635858407,-0.002016550108737546,62.0
6.377800615425118E-5,568660.3292948676,-0.0021513470470315844,63.0
-4.526836500200925E-4,568402.9060613808,-0.001598636498133147,64.0
0.006669246570981074,572193.7251935663,0.0020934469757050924,65.0
-0.004896976906881645,569391.7057350308,4.3986200469312703E-4,66.0
-4.5413081358336384E-4,569133.1274164577,4.3937961683870327E-4,67.0
0.005898339242765027,572490.0676762558,1.8241050743335405E-4,68.0
0.0020397005851800626,573657.7760023049,0.00249463633812059,69.0
-0.006672345858066823,569830.132916648,4.218979899594368E-4,70.0
-6.811843137687876E-4,569441.9735685925,-0.0017712765288851679,71.0
0.005500328272367962,572574.0913552848,-6.177339664892014E-4,72.0
-0.007286987731341843,568401.7509762946,-8.22614590914208E-4,73.0
-0.10548946270814502,508441.35566343646,-0.03575870738903962,74.0
0.004889708431535545,510927.48564716533,-0.03596224733598376,75.0
-0.0027878973329557117,509503.07227259583,-0.03446255053652172,76.0
4.043656392584621E-5,509523.6748261482,7.140825541685739E-4,77.0
5.683631502080659E-4,509813.269307078,-7.263658729405858E-4,78.0
-0.0013295243102723411,509135.4601718348,-2.4024153204612892E-4,79.0
0.004810824482130193,511584.8215083501,0.001349887774021987,80.0
-0.0028795679245885338,510111.6782656283,2.0057741575645367E-4,81.0
-0.0024353913085483265,508869.3567179912,-1.6804491700220811E-4,82.0
-7.10817533594578E-4,508507.64345692704,-0.002008592255577132,83.0
0.0017116534104572613,509378.03229909367,-4.781851438952001E-4,84.0
-4.168477730666652E-4,509165.6992006807,1.9466270126535366E-4,85.0
0.00111730873343713,509734.59448316426,8.040381236092564E-4,86.0
-8.550401724325732E-4,509298.7509276025,-5.152640402068849E-5,87.0
0.007710370471760996,513225.63297805947,0.0026575463442551988,88.0
-0.002682691130009951,511848.8071247755,0.0013908797231061718,89.0
-0.0029692567120892257,510328.9966186454,6.861408765539543E-4,90.0
0.0010979725431287826,510889.3238448951,-0.00151799176632345,91.0
-0.0034694449110391225,509116.8214801772,-0.0017802430266665073,92.0
0.0053613422462009605,511846.37100343045,9.966232927635548E-4,93.0
-0.004102954651787468,509746.2885545214,-7.370191055418622E-4,94.0
8.54477475081336E-4,510181.85527609754,7.042883564982906E-4,95.0
0.0013515081329553377,510871.37020278943,-6.323230145835836E-4,96.0
-1.935427932263814E-4,510772.494730821,6.708142716034454E-4,97.0
-0.001972660933757881,509764.91378442745,-2.71565198009627E-4,98.0
