Tipo;Faixas;Número de empresas e outras organizações (Unidades);Pessoal ocupado total (Pessoas);Salário médio mensal (Salários mínimos)
L Atividades imobiliárias;5 a 9;8808;55011;2,1
L Atividades imobiliárias;10 a 19;2728;35211;2,3
L Atividades imobiliárias;20 a 29;566;13379;2,6
L Atividades imobiliárias;30 a 49;356;13355;3
L Atividades imobiliárias;50 a 99;271;18559;3
L Atividades imobiliárias;100 a 249;95;12652;3,5
L Atividades imobiliárias;250 a 499;25;8162;4,5
L Atividades imobiliárias;500 ou mais;9;7119;5,6
M Atividades profissionais, científicas e técnicas;0 a 4;215037;387076;2,1
M Atividades profissionais, científicas e técnicas;5 a 9;31312;201404;2,2
M Atividades profissionais, científicas e técnicas;10 a 19;13645;179477;2,6
M Atividades profissionais, científicas e técnicas;20 a 29;3258;77437;3
M Atividades profissionais, científicas e técnicas;30 a 49;2271;84953;3,3
M Atividades profissionais, científicas e técnicas;50 a 99;1241;83424;3,9
M Atividades profissionais, científicas e técnicas;100 a 249;537;80084;5,1
M Atividades profissionais, científicas e técnicas;250 a 499;165;55488;6,2
M Atividades profissionais, científicas e técnicas;500 ou mais;136;169535;5,7
N Atividades administrativas e serviços complementares;0 a 4;212919;378125;1,7
N Atividades administrativas e serviços complementares;5 a 9;38423;X;X
N Atividades administrativas e serviços complementares;10 a 19;17220;228802;1,9
N Atividades administrativas e serviços complementares;20 a 29;5171;X;X
N Atividades administrativas e serviços complementares;30 a 49;4538;172512;1,9
N Atividades administrativas e serviços complementares;50 a 99;3868;268642;1,9
N Atividades administrativas e serviços complementares;100 a 249;2322;353098;1,8
N Atividades administrativas e serviços complementares;250 a 499;865;300561;2
N Atividades administrativas e serviços complementares;500 ou mais;1016;2075725;1,9
P Educação;0 a 4;53600;100053;1,5
P Educação;5 a 9;18355;122916;1,5
P Educação;10 a 19;14051;190068;1,5
P Educação;20 a 29;5233;125194;1,5
P Educação;30 a 49;4741;179639;1,7
P Educação;50 a 99;2611;172691;2
P Educação;100 a 249;581;83692;2,7
P Educação;250 a 499;141;49766;3,5
P Educação;500 ou mais;92;130285;4
Q Saúde humana e serviços sociais;0 a 4;121669;246636;1,5
Q Saúde humana e serviços sociais;5 a 9;24717;156757;1,6
Q Saúde humana e serviços sociais;10 a 19;10052;129711;1,8
Q Saúde humana e serviços sociais;20 a 29;2497;59358;2
Q Saúde humana e serviços sociais;30 a 49;1761;66278;2,1
Q Saúde humana e serviços sociais;50 a 99;1245;86051;2,2
Q Saúde humana e serviços sociais;100 a 249;618;94707;2,3
Q Saúde humana e serviços sociais;250 a 499;246;86922;2,3
Q Saúde humana e serviços sociais;500 ou mais;162;249499;3,4
R Artes, cultura, esporte e recreação;0 a 4;39641;71120;1,4
R Artes, cultura, esporte e recreação;5 a 9;6705;43467;1,4
R Artes, cultura, esporte e recreação;10 a 19;3100;40971;1,5
R Artes, cultura, esporte e recreação;20 a 29;719;17041;1,6
R Artes, cultura, esporte e recreação;30 a 49;425;15644;1,5
R Artes, cultura, esporte e recreação;50 a 99;189;12581;2,1
R Artes, cultura, esporte e recreação;100 a 249;60;8634;2,3
R Artes, cultura, esporte e recreação;250 a 499;11;X;X
R Artes, cultura, esporte e recreação;500 ou mais;9;X;X
S Outras atividades de serviços;0 a 4;81282;152314;1,4
S Outras atividades de serviços;5 a 9;15949;102183;1,5
S Outras atividades de serviços;10 a 19;6525;84995;1,6
S Outras atividades de serviços;20 a 29;1367;32247;1,7
S Outras atividades de serviços;30 a 49;964;35949;1,8
S Outras atividades de serviços;50 a 99;424;28061;1,9
S Outras atividades de serviços;100 a 249;123;X;X
S Outras atividades de serviços;250 a 499;27;X;X
S Outras atividades de serviços;500 ou mais;12;21175;2,7
